Reconstruct, Original, Codec, BPP, MS-SSIM (PyTorch), MS-SSIM (IQA), PSNR_Y, PSNR_U, PSNR_V, VIF, FSIM, NLPD, IW-SSIM, VMAF, PSNR_HVS, MAC/pxl, DecGPU, DecCPU, EncGPU, EncCPU
HiDNA_00001_1192x832_24bit_sRGB_001.png, 00001_1192x832.png, HiDNA, -1, 0.9987102150917053, 0.9986807703971863, 43.282671708224, 44.4139670130075, 45.081084242095685, 0.8695658445358276, 0.9992614984512329, 0.044489677995443344, 0.9988815188407898, 95.958715, 41.38547720882498, None, None, None, None, None
HiDNA_00001_1192x832_24bit_sRGB_002.png, 00001_1192x832.png, HiDNA, -1, 0.9977619051933289, 0.9977114796638489, 41.365463690158094, 43.656853970526605, 44.50215665221219, 0.8221690654754639, 0.9985494017601013, 0.05708935856819153, 0.9980349540710449, 95.267651, 39.212072960409955, None, None, None, None, None
HiDNA_00001_1192x832_24bit_sRGB_003.png, 00001_1192x832.png, HiDNA, -1, 0.9971883893013, 0.9971413612365723, 40.3914541319949, 43.12460904206312, 44.322034689669465, 0.7906230092048645, 0.9980626702308655, 0.06294659525156021, 0.9974144697189331, 94.541977, 38.41656137043878, None, None, None, None, None
HiDNA_00001_1192x832_24bit_sRGB_004.png, 00001_1192x832.png, HiDNA, -1, 0.9967389702796936, 0.996666431427002, 39.59135319086897, 42.747601652329934, 43.930268247367906, 0.7712407112121582, 0.9976481795310974, 0.06960853189229965, 0.9968200325965881, 93.802026, 37.38919599868692, None, None, None, None, None
HiDNA_00001_1192x832_24bit_sRGB_005.png, 00001_1192x832.png, HiDNA, -1, 0.9958602786064148, 0.9957517385482788, 38.02410485854618, 41.824033872814276, 43.369427222562024, 0.7278954982757568, 0.9967590570449829, 0.08037327975034714, 0.9956868886947632, 92.702258, 35.91150753926876, None, None, None, None, None
HiDNA_00001_1192x832_24bit_sRGB_006.png, 00001_1192x832.png, HiDNA, -1, 0.9950261116027832, 0.9949184060096741, 36.978412707254044, 41.02724257348544, 42.83798014651544, 0.6976608633995056, 0.9961495399475098, 0.08816640824079514, 0.9946672916412354, 91.855223, 34.98188681571263, None, None, None, None, None
HiDNA_00001_1192x832_24bit_sRGB_007.png, 00001_1192x832.png, HiDNA, -1, 0.994667649269104, 0.9945489168167114, 36.62063862664392, 40.79517136755899, 42.70021224964261, 0.6867212057113647, 0.9956507086753845, 0.09220152348279953, 0.9941297173500061, 90.879199, 34.59043442354625, None, None, None, None, None
HiDNA_00002_853x945_24bit_sRGB_001.png, 00002_853x945.png, HiDNA, -1, 0.9972038269042969, 0.9970793724060059, 44.755742257632235, 51.2843727955812, 50.574574076815296, 0.8223332166671753, 0.9988054633140564, 0.05208517238497734, 0.996492326259613, 93.1851, 42.38135542407171, None, None, None, None, None
HiDNA_00002_853x945_24bit_sRGB_002.png, 00002_853x945.png, HiDNA, -1, 0.9965313673019409, 0.9964197278022766, 43.810254902280754, 51.10969146040686, 50.135341445583514, 0.7870630025863647, 0.9986183643341064, 0.05696803331375122, 0.9957181811332703, 93.893013, 41.720509780411135, None, None, None, None, None
HiDNA_00002_853x945_24bit_sRGB_003.png, 00002_853x945.png, HiDNA, -1, 0.9943315386772156, 0.9941578507423401, 40.46714859300666, 49.59493576441217, 48.466006751637934, 0.703350305557251, 0.9976365566253662, 0.07484051585197449, 0.9922202229499817, 89.972736, 38.88083068555808, None, None, None, None, None
HiDNA_00002_853x945_24bit_sRGB_004.png, 00002_853x945.png, HiDNA, -1, 0.9938395619392395, 0.9935976266860962, 40.20403603060332, 49.57231998555599, 48.40189234849903, 0.6893976330757141, 0.9975422024726868, 0.07774332165718079, 0.9916321635246277, 89.727967, 38.52380817273157, None, None, None, None, None
HiDNA_00002_853x945_24bit_sRGB_005.png, 00002_853x945.png, HiDNA, -1, 0.992957592010498, 0.9927266240119934, 39.98722240450197, 49.480079187222564, 48.31565803679841, 0.6760931015014648, 0.9968591928482056, 0.08211406320333481, 0.9898999333381653, 89.108942, 38.05597091493075, None, None, None, None, None
HiDNA_00002_853x945_24bit_sRGB_006.png, 00002_853x945.png, HiDNA, -1, 0.9923068284988403, 0.9920461773872375, 39.731976267866266, 49.548251409596816, 48.2606377127822, 0.6645090579986572, 0.9964010715484619, 0.08540353924036026, 0.9888969659805298, 88.528389, 37.67683170534474, None, None, None, None, None
HiDNA_00002_853x945_24bit_sRGB_007.png, 00002_853x945.png, HiDNA, -1, 0.9841154217720032, 0.9837914705276489, 37.71373841578525, 48.07618927202821, 47.1642182064912, 0.5649475455284119, 0.9925603866577148, 0.11657752841711044, 0.9749665260314941, 84.357024, 34.650530667585, None, None, None, None, None
HiDNA_00003_945x840_24bit_sRGB_001.png, 00003_945x840.png, HiDNA, -1, 0.9979391098022461, 0.9978643655776978, 46.20924106955534, 49.891803603678646, 50.864847883406256, 0.8335341215133667, 0.9991002082824707, 0.043452952057123184, 0.9975364208221436, 96.030913, 43.92040076201944, None, None, None, None, None
HiDNA_00003_945x840_24bit_sRGB_002.png, 00003_945x840.png, HiDNA, -1, 0.9972001314163208, 0.9970937371253967, 44.631582507095445, 48.78346939078692, 50.06386582942443, 0.7881087064743042, 0.9985758662223816, 0.05150343105196953, 0.9960591793060303, 95.052051, 42.06422952745294, None, None, None, None, None
